Text Content,Document,Codes,Start position,End position
I think adding project support would alleviate a lot of friction for folks like me.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",6485,6568
"This is in response to: ""unable to switch between them without closing my current workspace""",issue396_allCommentsText.doc,396_non-argumentative,6901,6993
You mean #2686 is a duplicate of this?,issue396_allCommentsText.doc,396_non-argumentative,7110,7148
"Sorry, I misread the description and reopened this one.",issue396_allCommentsText.doc,396_non-argumentative,7260,7315
+1,issue396_allCommentsText.doc,396_non-argumentative,7427,7429
"Is there any progress on this issue, or at least some statement if this will ever be implemented?",issue396_allCommentsText.doc,396_non-argumentative,7545,7642
Are there some low-level decisions in the code that prevent multiple roots in one project?,issue396_allCommentsText.doc,396_non-argumentative,7643,7733
This is pretty much the only reason I'm not moving from ST3 to VSCode.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",7736,7806
+1,issue396_allCommentsText.doc,396_non-argumentative,7920,7922
+1,issue396_allCommentsText.doc,396_non-argumentative,8037,8039
+1,issue396_allCommentsText.doc,396_non-argumentative,8151,8153
this would be very helpful.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",8274,8301
Would love to have this feature.,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",8361,8393
The suggestion to use git submodules is very inconvenient.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",8302,8360
An initial lightweight approach would be something similar to what [git-project-manager](https://marketplace.visualstudio.com/items?itemName=felipecaputo.git-project-manager) extension does.,issue396_allCommentsText.doc,"396_claim 3, 396_support 3",8510,8700
"The approach could be to basically switch the context/root for what git sees as changes, but without changing the context/root for what file browser sees.",issue396_allCommentsText.doc,"396_claim 3, 396_support 3",8701,8855
+1,issue396_allCommentsText.doc,396_non-argumentative,9060,9062
+1,issue396_allCommentsText.doc,396_non-argumentative,9174,9176
"I started going down the path of using git submodules, but it feels like more of a hack than an actual solution.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",9179,9291
+1,issue396_allCommentsText.doc,396_non-argumentative,9404,9406
+1,issue396_allCommentsText.doc,396_non-argumentative,9521,9523
but would really love to have an option to open several folders at once.,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",9705,9777
+1,issue396_allCommentsText.doc,396_non-argumentative,9778,9780
Just want to say that the owner of Project Manager extension is waiting on this Issue as well.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",9897,9991
"With regard to some of the comments (above), I just want to say that we're all different, we all have our particular ways of executing our work on our particular projects.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",9994,10165
That fact makes UX more important than it already is.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",10167,10220
"We all knew that ""Open folder..."" was just the first baby step to inevitably having project management in vscode with things like ""Open project..."", and so forth.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",10223,10385
"Just like all the other editors out there, especially SublimeText (which is where I've come from).",issue396_allCommentsText.doc,"396_ground 1, 396_support 1",10387,10485
"For me, this issue is an improvement to the UX of the product.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",10488,10550
And we all know that UX is king.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",10552,10584
"I almost feel like this kind of stuff should be the law, and therefore the tag ""feature request"" should instead be ""feature reminder"".",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",10587,10721
This issue should be top priority over any other issues in vscode.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",10724,10790
"Not only because UX is king, but because I'm not experiencing any other issues with vscode right now other than this one... technically.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",10792,10928
"say for example by adding ""Projects..."" to the menu.",issue396_allCommentsText.doc,"396_claim 1, 396_support 1",11081,11133
+1,issue396_allCommentsText.doc,396_non-argumentative,11144,11146
+1,issue396_allCommentsText.doc,396_non-argumentative,11260,11262
My use case for this feature is described here:  #9515. (It was closed as a duplicate of this issue.),issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",11382,11483
I hope this feature happens!,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",11599,11627
+1,issue396_allCommentsText.doc,396_non-argumentative,11737,11739
"@poidl,@mastrauckas, @mdedgjonaj, @alanleite, @Xcorpio, @mibanez, @josebalius & @brusbilis:A while back GitHub introduced the lovely ""Add your reaction""-feature (see the smiley on each upper right corner of a comment or the issue itself?).",issue396_allCommentsText.doc,396_non-argumentative,11855,12095
This comment itself is meta and therefore meaningless too.,issue396_allCommentsText.doc,396_non-argumentative,12606,12664
To @poidl s answer: Then don't reply at all!,issue396_allCommentsText.doc,396_non-argumentative,12909,12953
I don't see that smiley.,issue396_allCommentsText.doc,396_non-argumentative,13063,13087
@poidl yes the reactions feature is not available on the GitHub mobile site unfortunately (along with many other features).,issue396_allCommentsText.doc,396_non-argumentative,13234,13357
"@dj-hedgehog's advice is spot on though, GitHub reactions allow us to gauge community interest in something more effectively than comment count.",issue396_allCommentsText.doc,396_non-argumentative,13455,13599
"Additionally, we're planning on deprecating User Voice so GitHub issues and reactions are our source of truth for feature requests.",issue396_allCommentsText.doc,396_non-argumentative,13600,13731
+1,issue396_allCommentsText.doc,396_non-argumentative,13842,13844
+1,issue396_allCommentsText.doc,396_non-argumentative,13957,13959
My solution to this problem: create a symbolic link to my project root.,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",14074,14145
So if I have:`project/modules/gitmodule`,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",14146,14187
I go into my gitmodule folder and do:`ln -s ../../../project .project`,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",14190,14261
Now I can open my gitmodule folder in vscode and still have access to the parent project folder.,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",14264,14360
I use a dot in the file name so it sorts to the top of my list in the explorer.,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",14361,14440
"Obviously, I would rather not have to do this, but I figured it might be useful for some of you.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",14441,14537
Almost forgot: don't forget to add the symbolic link to your .gitignore,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",14540,14611
+1,issue396_allCommentsText.doc,396_non-argumentative,14721,14723
This is a really important feature to a modern text editor.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",14842,14901
"Please solve that ""problem"" please.",issue396_allCommentsText.doc,"396_claim 1, 396_support 1",14902,14937
"For a while, I have had to copy and paste all of directories that is used to my actual work folder and this in Sublime Text is so Trivial.",issue396_allCommentsText.doc,"396_ground 1, 396_support 1",14938,15076
Project > Add Folder to Project at Sublime Text increments a new path to the Json structure.,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",15079,15171
"When working with chef for example, it is common to see a folder structure like:",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",15365,15445
Where the cookbooks (cookbook1 for example) under the root folder (cookbooks) are the independent git repos.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",15558,15666
This is very common.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",15667,15687
Now you have to work on cookbook4 but it includes cookbook2 and cookbook3.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",15688,15762
"You will often need to open all 3, either to simply refer to code or to actually edit or refactor code in all 3.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",15763,15875
The 2 normal (not symlink hacks) options present issues that no developer wants:,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",15878,15958
"Visual Studio Code is not an IDE. It is a light-weight cross-platform editor, like Atom or Sublime.",issue396_allCommentsText.doc,"396_against 1, 396_warrant 1",16494,16593
"Eclipse, Xcode, Visual Studio, et. all are behemoths in comparison.",issue396_allCommentsText.doc,"396_against 1, 396_warrant 1",16594,16661
"Sorry, I am not sure if you are arguing against or for this feature...",issue396_allCommentsText.doc,396_non-argumentative,16782,16852
"Atom, Sublime, VIM, Emacs allow you to open multiple folders in one instance.",issue396_allCommentsText.doc,"396_ground 1, 396_support 1",16852,16929
"@dmccaffery the features being asked for here are not just IDE features, The features being asked for are common to all of the _editors_ you said Visual Studio Code is _like_.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",17173,17348
"Atom, Sublime, and other lightweight editors can all open multiple folders.",issue396_allCommentsText.doc,"396_ground 1, 396_support 1",17351,17426
"I, personally, don't care if this feature ends up in the product or not -- I understand why some folks want it, but I would point out that it does make everything slightly more convoluted.",issue396_allCommentsText.doc,"396_claim 4, 396_support 4",17541,17729
For instance: when searching using a regex expression -- which workspace am I searching?,issue396_allCommentsText.doc,"396_warrant 4, 396_support 4",17730,17818
"What if I have one folder containing a nodejs project where my tab width is typically 2 spaces, and one folder is a dotnet project where my tab width is 4 spaces?",issue396_allCommentsText.doc,"396_warrant 4, 396_support 4",17831,17993
Code would need to be aware of the workspace settings for each folder and maintain context throughout.,issue396_allCommentsText.doc,"396_warrant 4, 396_support 4",17994,18096
These are just a few examples of where multiple workspaces within a single instance can be difficult.,issue396_allCommentsText.doc,"396_warrant 4, 396_support 4",18099,18200
"All I'm saying is, this feature is far more involved than just having multiple paths show up in the explorer.",issue396_allCommentsText.doc,"396_claim 4, 396_support 4",18201,18310
@dmccaffery no more convoluted than sublime and atom.,issue396_allCommentsText.doc,"396_claim 4, 396_against 4",18424,18477
"Search in atom and sublime can be in current file only, in this workspace, etc...",issue396_allCommentsText.doc,"396_ground 5, 396_support 5",18546,18627
"Here is a fact, like it or not and it has nothing to do with what you or I want.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",18649,18729
"If other similar software at similar price points (free in this case) have better or more features, and the developer neglects this fact,.. this software will be left behind.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",18730,18904
I for one would not want to see that happen to this editor.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",18907,18966
I think this editor has very good potential and can remain relevant for some time _if_ the developers listen to the wants/needs of it's user base.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",18967,19113
Again; i'm not arguing for or against -- just keep in mind that this is a very new editor with far more out of the box context than its competitors -- give it some time.,issue396_allCommentsText.doc,396_non-argumentative,19228,19397
Even in your example with chef and git integration -- how do you maintain context as to which repo you're committing to?,issue396_allCommentsText.doc,"396_warrant 4, 396_support 4",19400,19520
"The current UI would need to adapt to constant context-switching -- same for OmniSharp, which is using a server and roslyn to provide syntax highlighting, etc. for CoreCLR projects.",issue396_allCommentsText.doc,"396_warrant 4, 396_support 4",19521,19702
The implications are far reaching and will need to be very well thought out.,issue396_allCommentsText.doc,"396_warrant 4, 396_support 4",19703,19779
No argument on the idea that features need to be well planned and thought out.,issue396_allCommentsText.doc,396_non-argumentative,19893,19971
That is a given I would think.,issue396_allCommentsText.doc,396_non-argumentative,19972,20002
"I think all users would be happy if the answer here was ""it is on the roadmap"" or ""we are working towards that end"".",issue396_allCommentsText.doc,396_non-argumentative,20003,20119
"All I am saying is that a ""no"" would probably kill off quite a few users over night.",issue396_allCommentsText.doc,396_non-argumentative,20119,20204
this is all true and all already accomplished in other open source editors.,issue396_allCommentsText.doc,"396_ground 4, 396_against 4",20269,20344
"You know the great thing about open source,,, it's open!",issue396_allCommentsText.doc,"396_against 4, 396_warrant 4",20345,20401
I found this mentioned in https://github.com/Microsoft/vscode/wiki/Roadmap,issue396_allCommentsText.doc,396_non-argumentative,20809,20883
"I think no one say that this feature are simple (as all of us are developer, we can aware what need to be change) and I guest people comment on this ticket just want to show how important it is, how priority should it be, and how to compare this feature vs some VS Code brothers (Atom, Sublime for example).",issue396_allCommentsText.doc,396_non-argumentative,21080,21387
"But because this already in the road map (anyone can confirm that the wiki page still correct) we should discuss about how to implement this instead of just saying how we need and how important it is (as again, I guess VS Code core team already know how we need it and how important this feature).",issue396_allCommentsText.doc,396_non-argumentative,21390,21687
"I not familiar with VS Code source code, can any one tell me if I want to implement this feature, where should I look first?",issue396_allCommentsText.doc,396_non-argumentative,21690,21814
@nvcnvn it's not as trivial as it may look to implement this as a lot of vscode assumes that only a single folder can be opened.,issue396_allCommentsText.doc,396_non-argumentative,22008,22136
"As such it will need to go through UX and likely touch many parts of the codebase, potentially with impacts on the extension API as well.",issue396_allCommentsText.doc,396_non-argumentative,22137,22274
"I remember when Atom came out, with the same _single folder_ limitation.",issue396_allCommentsText.doc,396_non-argumentative,22390,22462
"The complains were also the same, specially the comparations with Sublime. Then, when _multiple folder_ support was released, some packages(extensions) were broken, due to the new API.",issue396_allCommentsText.doc,396_non-argumentative,22463,22647
Others didn't broke but also didn't support it as well.,issue396_allCommentsText.doc,396_non-argumentative,22648,22703
"As @Tyriar said, there will be some UX and extension API impact, and will probably be a busy _Insider_ release for core and extensions developers, to adopt the new API.",issue396_allCommentsText.doc,396_non-argumentative,22774,22942
So what exactly is being argued here?,issue396_allCommentsText.doc,396_non-argumentative,23056,23093
Hint:,issue396_allCommentsText.doc,396_non-argumentative,23175,23180
"That is the point of debugging, refactoring, pre-releases (alpha, beta, rc, etc...)",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",23229,23312
ALL IMPROVEMENTS IN CODE CAN BREAK SOMETHING!,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",23181,23226
"I mean all I see is ""don't make improvements because it could break things""...",issue396_allCommentsText.doc,"396_against 1, 396_warrant 1",23094,23172
I never ever met a serious programmer that was afraid to improve code because it might break something.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",23333,23436
"@ddreggors I'm not arguing, I'm simply stating some information about the issue.",issue396_allCommentsText.doc,396_non-argumentative,23642,23722
"As @nvcnvn pointed out, this issue is on the [roadmap](https://github.com/Microsoft/vscode/wiki/Roadmap) meaning the team will be looking at it soon.",issue396_allCommentsText.doc,396_non-argumentative,23877,24026
We're a relatively small team though with a lot of stuff to cover so some things need to be delayed.,issue396_allCommentsText.doc,396_non-argumentative,24027,24127
"@Tyriar  Understood, I just keep seeing these comments from several people that seem to suggest it is best not to add this feature for one reason or another.",issue396_allCommentsText.doc,396_non-argumentative,24241,24398
"The worst of which was due to the fact that code is not an IDE, when others clearly compared other editors not IDEs.",issue396_allCommentsText.doc,396_non-argumentative,24399,24515
It made me want to get to the root of the fear of this change to get past it if possible.,issue396_allCommentsText.doc,396_non-argumentative,24516,24605
"I can understand the worry of that PR not being complete, however it could be a good start...",issue396_allCommentsText.doc,396_non-argumentative,24608,24701
@ddreggors it would be wasted effort for anyone to touch this before it's been discussed in one of our [UX meetings](https://github.com/Microsoft/vscode/issues?q=is%3Aissue+label%3Aux-meeting+is%3Aclosed),issue396_allCommentsText.doc,396_non-argumentative,24907,25111
"Fair enough, you would know best on that end.",issue396_allCommentsText.doc,396_non-argumentative,25225,25270
"Thanks for efforts, and what looks like the start of a very good editor.",issue396_allCommentsText.doc,396_non-argumentative,25333,25405
It also seems to be a wasted effort [to suggest this topic for your UX meetings](https://github.com/Microsoft/vscode/issues/9506#issuecomment-233793155) :â),issue396_allCommentsText.doc,396_non-argumentative,25518,25676
I temporary switched back to Atom as it has become much more stable in 1.9 release.,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",25679,25762
It used to crash when any large file was opened and that was the main reason at started checking out VSCode at some point.,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",25763,25885
Really looking forward to see multiple projects in one window â seems like I've got nothing to do but following this thread until then.,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",25886,26023
Why Microsoft people not concentrating on this ?,issue396_allCommentsText.doc,396_non-argumentative,26137,26185
+1,issue396_allCommentsText.doc,14909_non-argumentative,26298,26300
+1,issue396_allCommentsText.doc,14909_non-argumentative,26413,26415
I really love VS Code.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",26528,26550
"It's become my primary editor, but the difficulty of working in more than 2 projects at a time is becoming confounding.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",26551,26670
"There's a double whammy on these two open issues: this one, and [configuring title bar information](https://github.com/Microsoft/vscode/issues/1723).",issue396_allCommentsText.doc,"396_claim 1, 396_claim 6, 396_support 1, 396_support 6",26671,26820
"Either one of these features would solve the problem (though ideally, I'd like both!).",issue396_allCommentsText.doc,"396_claim 1, 396_claim 6, 396_support 1, 396_support 6",26823,26909
"I don't mind opening each project in a different physical VS Code window and let my OS manage the instances -- but because the title bar shows the open file name first, rather than some root folder/project identifier, it's impossible to switch to another specific open project without opening and looking at each active instance.",issue396_allCommentsText.doc,"396_ground 6, 396_support 6",27128,27457
It makes something that ought to be effortless into a constant annoyance.,issue396_allCommentsText.doc,"396_warrant 6, 396_support 6",27458,27531
Please - is there any way that adding one of these two features can become a priority?,issue396_allCommentsText.doc,"396_claim 1, 396_claim 6, 396_support 1, 396_support 6",27534,27620
"I've tried everything I can think of to work around it, I even spent an hour looking for some Windows taskbar alternative that would let me pick windows from a list that could show more of the text in the titlebar but I can't find anything.",issue396_allCommentsText.doc,"396_ground 1, 396_ground 6, 396_support 1, 396_support 6",27621,27861
If anyone has any suggestions for how to manage multiple open VS Code projects effectively I would love to hear them.,issue396_allCommentsText.doc,396_non-argumentative,27864,27981
"So if Project A has its own eslint rules, Project B should not be affected by those rules and vice versa.",issue396_allCommentsText.doc,"396_claim 7, 396_support 7",28202,28308
Cannot wait to have such UX in Code.,issue396_allCommentsText.doc,"396_claim 1, 396_claim 7, 396_support 1, 396_support 7",28308,28344
"This is definitely one of, if not the biggest adoption hurdles right now.",issue396_allCommentsText.doc,"396_warrant 1, 396_warrant 7, 396_support 1, 396_support 7",28345,28418
This is the only thing that is holding me to adopt it.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",28530,28584
"I know that you may have a lot of other issues to fix and other features to implement, but, at least some basic support to get started would be awesome.",issue396_allCommentsText.doc,"396_claim 8, 396_support 8",28587,28739
Thanks for the hard work on VSCode!,issue396_allCommentsText.doc,396_non-argumentative,28742,28777
+1,issue396_allCommentsText.doc,396_non-argumentative,28888,28890
"Until this feature is implemented (if ever), may i suggest that you simply add ability to configure the title bar to show the project name before the file name.",issue396_allCommentsText.doc,"396_claim 6, 396_support 6",29003,29163
This way it will at least be possible to distinguish between the different vscode windows that are open for the different projects.,issue396_allCommentsText.doc,"396_warrant 6, 396_support 6",29164,29295
See [#1723](https://github.com/Microsoft/vscode/issues/1723).,issue396_allCommentsText.doc,"396_warrant 6, 396_support 6",29296,29357
This is a show stopper for me too.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",29473,29507
I see some devs are wondering why you have multiple git repos at once.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",29508,29578
This happens with almost any language that uses third part modules.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",29579,29646
"Just look at php - composer, js - bower, node - npm, golang etc.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",29647,29711
It is very common to start a project which uses some of your modules and you want to edit and commit the changes in the scope of the project.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",29712,29853
The simplest solution would be to stop searching for settings in parent directories one a `.vscode/settings.json` file is found.,issue396_allCommentsText.doc,"396_claim 9, 396_support 9",30826,30954
Is there at least support for recognizing `.vscode/settings.json` in nested directories.,issue396_allCommentsText.doc,"396_claim 9, 396_support 9",29964,30052
"When working on a single project, there may be subtrees with different sets of settings and which come form different (git) repositories.",issue396_allCommentsText.doc,"396_claim 9, 396_support 9",30053,30190
"I would expect that vscode would take (and maybe merge) the settings of the closest parent directory like a lot of config files (`.eslint`, `.gitignore`, `.editorconfig`, `tsconfig.json`, 'package.json` ....).",issue396_allCommentsText.doc,"396_claim 9, 396_support 9",30495,30704
"So, when I open `/root`, then any file in `root/server/` should be handled as if I would open `root/server/` directly.",issue396_allCommentsText.doc,"396_claim 9, 396_support 9",30707,30825
This is really needed.,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",31067,31089
+1.,issue396_allCommentsText.doc,396_non-argumentative,31199,31202
This is really needed.,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",31335,31357
there have a workaround to nest folders under a  vscode workspace.,issue396_allCommentsText.doc,396_non-argumentative,31475,31541
I agree - i think this request is a definite requirement.,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",31755,31812
and not having this feature is a real deal breaker for my just now - thats why i have to use sublime.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",31909,32010
Please add it!,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",32011,32025
On the left hand side you show the folder you are in as a project.,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",32144,32210
This could work if you had it where you can see each folder area (project) open there.,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",32212,32298
You can expand it and collapse it like you do now (but for multiple folder areas).,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",32300,32382
An awesome editor if only I could switch between two projects.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",32496,32558
"Hi all, I recommend the [Git Project Manager](https://marketplace.visualstudio.com/items?itemName=felipecaputo.git-project-manager) extension if you do a lot of switching between projects in the meantime.",issue396_allCommentsText.doc,396_non-argumentative,32689,32893
When I switch projects I either go:,issue396_allCommentsText.doc,396_non-argumentative,33065,33100
Or if I want to open the project in another window I hit <kbd>ctrl</kbd>+<kbd>shift</kbd>+<kbd>n</kbd> beforehand.,issue396_allCommentsText.doc,396_non-argumentative,33241,33355
![untitled-1](https://cloud.githubusercontent.com/assets/17998720/19443154/b03bf49e-9440-11e6-9889-a8e2956e6a7e.jpg) This is a screen shot on how you can easily have multiple projects.,issue396_allCommentsText.doc,"396_ground 1, 396_against 1",33563,33749
"If I refactor a class name in TypeScript, should it refactor in project A or project B, or both?",issue396_allCommentsText.doc,"396_against 1, 396_warrant 1",3214,3310
What if the same class name exists in both projects with different meanings?,issue396_allCommentsText.doc,"396_against 1, 396_warrant 1",3311,3387
What if one is loosely referencing the other?,issue396_allCommentsText.doc,"396_against 1, 396_warrant 1",3388,3433
Maybe I am missing something...,issue396_allCommentsText.doc,396_non-argumentative,3919,3950
"This extension works perfect, just needs a tighter integration to make the switching faster.",issue396_allCommentsText.doc,"396_claim 3, 396_support 3",8856,8948
"Look at the code, get ideas, heck even use some of it (make sure to include licensing as needed).",issue396_allCommentsText.doc,"396_against 4, 396_warrant 4",20402,20500
"That is one of the great things about foss (free open source software), collaboration and knowledge sharing.",issue396_allCommentsText.doc,"396_against 4, 396_warrant 4",20500,20608
Dealbreaker for me.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",31203,31222
+1,issue396_allCommentsText.doc,396_non-argumentative,31360,31362
"just to create a  symbol link to the workspace's folder, like this  `mklink  /d  link  target`",issue396_allCommentsText.doc,396_non-argumentative,31543,31637
A real Dealbreaker.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",32559,32578
@soljohnston777 the problem is that git integration (or any other kind of VS code config) isn't supported at a folder level.,issue396_allCommentsText.doc,"396_ground 1, 396_support 1",33862,33986
Huh really?,issue396_allCommentsText.doc,396_non-argumentative,34210,34221
Did VSCode repeat the errors eclipse made when it comes to the workspace concept?,issue396_allCommentsText.doc,396_non-argumentative,34222,34303
"That would be surprising, knowing that quite a few members of the VSCode team have been part of the core eclipse team....",issue396_allCommentsText.doc,396_non-argumentative,34304,34425
"I can't speak to the philosophy of the architects here, but this fact (that config is per-instance and not per folder) is the whole reason for this issue and discussion.",issue396_allCommentsText.doc,396_non-argumentative,34623,34792
Why not implement it like that inside VSCode?(separate window per side project button - just reference it inside).,issue396_allCommentsText.doc,"396_claim 10, 396_support 10",34961,35075
Having a parent folder housing subfolders which are independent git repositories are really helpfull when they all belong to the same project.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",35550,35692
"Would like to see this available,  atleast with an optional configuration flag in settings.",issue396_allCommentsText.doc,"396_claim 1, 396_support 1",35693,35784
I also like to express my strong interest in having git support for multiple git repos.,issue396_allCommentsText.doc,"396_claim 1, 396_support 1",35899,35986
"It would save the hassle of coding it inside the program, yet the projects show inside, and make it easy to integrate and develop.",issue396_allCommentsText.doc,"396_warrant 10, 396_support 10",35077,35207
You can use separate VScode windows for projects.,issue396_allCommentsText.doc,"396_ground 10, 396_support 10",34911,34960
Git can be independently placed for each folder area for multiple projects...,issue396_allCommentsText.doc,"396_claim 10, 396_support 10",35210,35288
"I find the git to be confusing with VSCode, so I tend to just do the command line anyways (which seems like you should be able to do that in VSCode).",issue396_allCommentsText.doc,"396_warrant 10, 396_support 10",35289,35438
+1.,issue396_allCommentsText.doc,396_non-argumentative,36103,36106
This is a main feature that prevents my adoption of VSCode as my main editor.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",36107,36184
+1,issue396_allCommentsText.doc,396_non-argumentative,36302,36304
"(Key: not having them all open at once, but switching between them, and having the editor remember which files were open and in which workspaces.)",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",36506,36652
+1,issue396_allCommentsText.doc,396_non-argumentative,36769,36771
"Our setup is something like core code in on GIT repo, some regional code in another repo, and project specific code in another repo so when you work on a project you need to code from all three (or more) repos.",issue396_allCommentsText.doc,"396_ground 1, 396_support 1",36772,36982
"Not being able to have a ""project"" with it's own specific settings and the ability to add multiple folders from multiple sources it's king of a blocker.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",36983,37135
@danechitoaie how do you know that a change you make to your core repo doesn't break someone else relying on it for a different region or project code base?,issue396_allCommentsText.doc,"396_against 1, 396_warrant 1",37250,37406
Seems like a dangerous way to work; there should be separate release management using some kind of package management system or the like.,issue396_allCommentsText.doc,"396_against 1, 396_warrant 1",37407,37544
"Agree, it is and they should/could do a lot things much better but...",issue396_allCommentsText.doc,396_non-argumentative,37784,37853
Understood.,issue396_allCommentsText.doc,396_non-argumentative,38039,38050
I love it when that sort of thing happens.,issue396_allCommentsText.doc,396_non-argumentative,38051,38093
![b2r1ifriyaa-bnh](https://cloud.githubusercontent.com/assets/3433148/19676847/7ab6c690-9ad1-11e6-9ea2-139f987ba2a6.png)How about this?,issue396_allCommentsText.doc,"396_claim 10, 396_support 10",38203,38339
For me a simple switch button like that just not enough.,issue396_allCommentsText.doc,"396_claim 10, 396_against 10",38450,38506
"If we need just that simple, open 2 instances (ctrl shift N) then use your OS hotkey to switch between windows/workspaces is pretty the same.",issue396_allCommentsText.doc,"396_against 10, 396_warrant 10",38507,38648
"I love to have something that make easier to compare files, projects structure, something help me to quickly do minor changes and build and keep all the diff in the same screen, able to revert the changes for all the projects i working with.",issue396_allCommentsText.doc,"396_against 10, 396_warrant 10",38649,38890
+1,issue396_allCommentsText.doc,396_non-argumentative,39002,39004
+1,issue396_allCommentsText.doc,396_non-argumentative,39116,39118
Kind of workaround for macOS Sierra.,issue396_allCommentsText.doc,"396_against 10, 396_warrant 10",39121,39157
One tab per project inside one window by setting `Prefer tabs when opening documents` to `Always` in dock settings.,issue396_allCommentsText.doc,"396_ground 10, 396_against 10",39160,39275
But it will affects others apps behavior too..,issue396_allCommentsText.doc,"396_against 10, 396_warrant 10",39276,39322
+1,issue396_allCommentsText.doc,396_non-argumentative,39439,39441
This is becoming a killer for me.,issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",39560,39593
"I love the program, but man do I not like one just having one window...",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",39594,39665
"Honestly, I had to stop using Code because as much as I like it, it became too cumbersome switching windows.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",39779,39887
"If this gets fixed in the future I will try it again, until then this is a show stopper for me and every person I had test it.",issue396_allCommentsText.doc,"396_warrant 1, 396_support 1",39890,40016
+1,issue396_allCommentsText.doc,396_non-argumentative,40130,40132
+1,issue396_allCommentsText.doc,396_non-argumentative,40245,40247
Please prefer :+1: reactions on the original issue comment as that helps us with prioritization and doesn't send notifications to everyone listening to the issue for updates.,issue396_allCommentsText.doc,396_non-argumentative,40358,40532
+1,issue396_allCommentsText.doc,396_non-argumentative,40647,40649
